solvent_smiles,pre_pro
CC(Cl)(Cl)Cl,0.0851
CN(C)C(=O)N(C)C,0.7234
CC(Cl)Cl,0.0426
C=C(Cl)Cl,0.0851
NCCN,0.0426
Clc1ccccc1Cl,0.1702
ClCCCl,0.0213
COCCOC,0.1489
OCCO,0.1702
Cc1cc(C)cc(C)c1,0.2128
Cc1ccc(C)cc1,0.1702
C1COCCO1,0.5745
CN1CCCC1=O,0.9574
CC(C)C(=O)C(C)C,0.1064
CC(C)CC(=O)CC(C)C,0.2553
NCCO,0.0213
COCCO,0.1277
CCCC(C)C,0.0426
CC1CCCO1,0.0638
CCC(C)(C)O,0.0426
CC(C)CO,0.0213
CC(C)(C)O,0.0851
CC(=O)C(C)(C)C,0.1064
CC(=O)C(C)C,0.0638
CC(C)CCO,0.0213
CC(=O)CC(C)C,0.0638
CC(=O)O,0.1489
CC(=O)OC(C)=O,0.0851
CC(C)=O,0.0213
CC#N,0.2766
CC(=O)c1ccccc1,0.1915
Nc1ccccc1,0.0851
COc1ccccc1,0.0426
c1ccccc1,0.1489
N#Cc1ccccc1,0.4468
FC(F)(F)c1ccccc1,0.5957
OCc1ccccc1,0.0426
Brc1ccccc1,0.2128
CCCCO,0.0213
CCC(C)O,0.0213
CCC(C)=O,0.0426
CCCC#N,0.1064
S=C=S,0.0638
Clc1ccccc1,0.1064
ClC(Cl)Cl,0.0851
C1CCC2CCCCC2C1,0.3617
C1CCCCC1,0.1277
OC1CCCCC1,0.1277
O=C1CCCCC1,0.1702
COC1CCCC1,0.0851
CCCCCCCCCC,0.234
ClCCl,0.0
CCOCC,0.0426
CCNCC,0.0213
CCOC(=O)OCC,0.2979
OCCOCCO,0.1915
CCOCCOCCOCC,0.383
COCCOCCOC,0.234
ICI,0.0638
CC(C)OC(C)C,0.0638
CS(C)=O,0.0
CCCCOCCCC,0.1277
CCCOCCC,0.0213
c1ccc(Oc2ccccc2)cc1,0.234
CCO,0.0
CCOC(C)=O,0.0426
CCOc1ccccc1,0.1277
Fc1ccccc1,0.1489
NC=O,0.0
O=CO,0.1277
OCC(O)CO,0.234
CN(C)P(=O)(N(C)C)N(C)C,0.5106
Ic1ccccc1,0.1277
CC(=O)OCC(C)C,0.0851
CC(=O)OC(C)C,0.0638
CO,0.0638
COC(C)=O,0.0
C1COCCN1,0.4681
CC(=O)N(C)C,0.1915
CN(C)C=O,0.1489
CCCCOC(C)=O,0.0638
CCCCCCC,0.0426
CCCCCC,0.0638
O=[N+]([O-])c1ccccc1,0.5532
C[N+](=O)[O-],0.3404
CNC(C)=O,0.0213
CNC=O,0.0
CCCCCCCCC,0.1277
CCCCCCCC,0.0638
CCCCC,0.0638
CCCCCO,0.0
CCCC(C)O,0.0
CCCC(C)=O,0.0426
CCC(O)CC,0.0213
CCC(=O)CC,0.0638
C1CCNCC1,0.1064
CCCO,0.0213
CC(C)O,0.0213
CCC(=O)O,0.0213
CCC#N,0.2128
c1ccncc1,0.1489
c1ccc2ncccc2c1,0.4255
O=S1(=O)CCCC1,0.5106
COC(C)(C)C,0.0426
ClC(Cl)=C(Cl)Cl,0.1064
ClC(Cl)(Cl)Cl,0.0851
OCCOCCOCCOCCO,0.4255
C1CCOC1,0.2766
c1ccc2c(c1)CCCC2,0.2979
Cc1ccccc1,0.0638
CCCCN(CCCC)CCCC,0.4468
ClC=C(Cl)Cl,0.0851
CCN(CC)CC,0.2553
OCCOCCOCCO,0.3617
COCCOCCOCCOC,0.4255
O,0.3191
CN(C)c1ccccc1,0.3191
CC1CCCCC1,0.0851
CN1CCCN(C)C1=O,1.0
CN1CCN(C)C1=O,1.0
CCN1CCCC1=O,0.1489
CCC(C)(C)OC,0.0426
C1COCO1,0.3617
CCOC(=O)C(C)O,0.2553
COCC(C)OC,0.1702
CC1COC(=O)O1,0.4255
COC(=O)OC,0.234
CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,0.5319
COC(OC)(OC)OC,0.3191
OCC(F)(F)F,0.4255
CC1=CC(=O)CC(C)(C)C1,0.234
CC1CCCCC1=O,0.1064
CCOCCOC(C)=O,0.3191
CCOC(=O)CC(C)=O,0.2553
Cc1ccccn1,0.0638
Cc1cccc(C)n1,0.1277
OCCN(CCO)CCO,0.4681
C1CSCS1,0.1702
COS(=O)OC,0.0851
O=S1OCCO1,0.4468
Fc1c(F)c(F)c(F)c(F)c1F,0.5532
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.5745
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,0.6809
Cc1ccc(C(C)C)cc1,0.234
Clc1cccc(Cl)c1,0.1489
O=S1CCCC1,0.3191
O=C(O)C(F)(F)F,0.4894
O=C(OC(=O)C(F)(F)F)C(F)(F)F,0.6383
OC(C(F)(F)F)C(F)(F)F,0.617
CN1CCCCCC1=O,0.5319
CCN(CC)S(=O)(=O)N(CC)CC,0.4468
CN(C)P(C)(=O)N(C)C,0.4894
COC(C)(C)OC,0.0638
CC1(C)OCC(CO)O1,0.3404
C=C(C)C1CC=C(C)CC1,0.1702
CC1CCC(=O)O1,0.3617
C1CCC2=NCCCN2CC1,0.5319
CCN(C(C)C)C(C)C,0.234
Cl/C=C/Cl,0.0213
Cl/C=C\Cl,0.0213
CCOCCO,0.1489
CCCCC(C)=O,0.0
COC=O,0.0
CCOC=O,0.0
CCCOC=O,0.0213
CCCCOC=O,0.0426
COC(=O)CCCCC(=O)OC,0.4043
CC(=O)OCCC(C)C,0.2128
CCCCCCOC(C)=O,0.2553
CC(=O)OCCOC(C)=O,0.3617
O=C1CCCO1,0.4043
COC(OC)OC,0.2128
CCOC(OCC)OCC,0.3617
CC1(C)OCCO1,0.1277
CC(=O)CC(C)=O,0.0851
CCC1CCCCC1,0.1064
CCCCCC#N,0.0638
CCCCCOC(C)=O,0.2128
CCC(=O)OC,0.0426
CCCC(=O)OC,0.0638
CCCCC(=O)CCCC,0.2128
c1ccc2c(c1)CCC2,0.2766
c1cncnc1,0.4043
c1ccnnc1,0.4255
C1CCCC1,0.1489
CCCCCCCCCO,0.2128
CCCNCCC,0.0213
C1CCNC1,0.2128
CC(=O)CC(C)(C)O,0.0638
O=C1CCCC1,0.1915
O=C(OCc1ccccc1)c1ccccc1,0.3191
CCCCNCCCC,0.1489
CCCCCCCO,0.0638
N#CCCCCC#N,0.1489
CCCCCCO,0.0426
CCCCCN,0.0
c1ccsc1,0.234
C1CCSC1,0.1489
c1ccoc1,0.1489
c1cc[nH]c1,0.1277
CCCCN,0.0213
CCCOC(C)=O,0.0638
NC1CCCCC1,0.0851
CC(C)NC(C)C,0.0426
CCC[N+](=O)[O-],0.3404
CCCC(=O)O,0.0426
CCCN,0.0213
CCOC(=O)CC,0.0638
CCCC(=O)OCC,0.0851
CCCCc1ccccc1,0.234
CNc1ccccc1,0.1064
CCNc1ccccc1,0.2128
NCc1ccccc1,0.0426
CCc1ccccc1,0.0851
CC(C)c1ccccc1,0.1489
O=Cc1ccco1,0.0426
CC1CCCC1,0.0851
COC(=O)c1ccccc1,0.383
CC(C)[N+](=O)[O-],0.4043
ClC(Cl)C(Cl)Cl,0.0851
CC(C)C(=O)O,0.0851
CC[N+](=O)[O-],0.3191
ClCC(Cl)Cl,0.0426
CC(C)CN,0.0213
ClC(Cl)C(Cl)(Cl)Cl,0.0851
CC(C)(C)N,0.0851
CC(C)N,0.0213
CC(O)CO,0.1277
C1CCOCC1,0.0851
CC(=O)OCC(C)OC(C)=O,0.3617
COCC(C)OCC(C)OC,0.4255
O=C1CC[C@H]2CO[C@@H]1O2,0.8085
FC(F)(F)Oc1ccccc1,0.4043
CN1CCOCC1,0.4894
CC1CCC(CO)CC1,0.1915
C[Si](C)(C)O[Si](C)(C)C,0.1277
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.3617
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.4043
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.4681
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.4894
CCCCOCCOCCO,0.383
CCCCCCOCCOCCO,0.4043
COCCOCCO,0.1915
CCOCCOCCO,0.234
CCCCOCCOCCOC(C)=O,0.4468
CCCOCCO,0.1915
CCCCOCCOC(C)=O,0.4043
CCCCOCCO,0.234
CCCOCC(C)OCC(C)O,0.4043
OCCOc1ccccc1,0.234
COCC(C)OC(C)=O,0.2766
COCC(C)O,0.1489
CCCCOCC(C)O,0.1915
CCCOCC(C)O,0.1702
CC(O)COc1ccccc1,0.2553
COCC(C)OCC(C)OCC(C)O,0.4255
CCCCOCC(C)OCC(C)OCC(C)O,0.4681
COCC(C)OCC(C)O,0.383
COCC(C)OCC(C)OC(C)=O,0.4255
CCCCOCC(C)OCC(C)O,0.4255
CCCCC(CC)CO,0.1915
CCC(C)CO,0.0213
CC(C)CC(C)O,0.0213
CCCOC(=O)CC,0.0851
CCOCCC(=O)OCC,0.4468
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,0.4468
CCCCCOC(=O)CC,0.2553
CCCCOCCOCCOCCO,0.4255
CC(=O)OCC(COC(C)=O)OC(C)=O,0.383
C[Si](C)(C)C,0.0851
CC=C(C)C,0.0638
CCCCCCCCCCCC,0.2979
Cc1cccc(C)c1,0.1064
C=Cc1ccccc1,0.1277
CCCCCCCCO,0.1489
CCCCCCCCCCO,0.234
OCCc1ccccc1,0.1915
OCCCc1ccccc1,0.2128
C=CCO,0.0
OCCCl,0.0213
Oc1ccccc1,0.0426
Cc1cccc(O)c1,0.1064
Cc1ccc(O)cc1,0.1277
Oc1cccc(Cl)c1,0.0851
c1ccc(COCc2ccccc2)cc1,0.2553
CC12CCC(CC1)C(C)(C)O2,0.2766
CCCCCC(C)=O,0.0638
CCCCC(=O)O,0.0426
CCCCCC(=O)O,0.1064
CCCCCCC(=O)O,0.234
O=C1OCCO1,0.5106
CCOC(=O)c1ccccc1,0.2766
COC(=O)c1ccccc1C(=O)OC,0.4894
Fc1ccc(F)cc1,0.3617
CCCCCl,0.0213
CCCCBr,0.0213
BrCBr,0.0638
BrCCBr,0.0213
BrC(Br)Br,0.0851
CCCCI,0.0213
CC(N)N,0.0426
c1ccc(CNCc2ccccc2)cc1,0.2979
CCCCCCN(C)C,0.2979
Nc1ccccc1Cl,0.0851
Cc1ccncc1,0.0851
Fc1ccccn1,0.383
Fc1nc(F)c(F)c(F)c1F,0.5532
Brc1ccccn1,0.1702
Brc1cccnc1,0.1702
Cc1ccncc1C,0.1277
N#Cc1ccccn1,0.4255
N#CCc1ccccc1,0.2553
CCN(C=O)CC,0.1702
O=C1CCCN1,0.4255
C=CN1CCCCCC1=O,0.3404
CN(C)C(=N)N(C)C,0.2553
CN(C)C#N,0.3617
CSC,0.0
CCSCC,0.0213
CC(C)SSC(C)C,0.1277
CCCCSCCCC,0.1702
COS(=O)(=O)OC,0.1702
COP(=O)(OC)OC,0.1702
CCOP(=O)(OCC)OCC,0.3191
CCCCOP(=O)(OCCCC)OCCCC,0.3404
CCN(CC)c1ccc2cc(C(=O)O)c(=O)oc2c1,0.5319
CN(C)P(N(C)C)N(C)C,0.4255
[3H]O,0.3191
Cc1ccccc1C,0.1277
Clc1ccc(Cl)c(Cl)c1,0.1702
CCOCCOCC,0.234
OCCCO,0.1277
CCCBr,0.0426
COC(C)COC(C)COC(C)CO,0.4681
CC(C)OCCO,0.1277
CCCCCCC(C)O,0.1489
COC(=O)CCC(=O)OC,0.4043
C=CC(=O)O,0.0851
ClCC1CO1,0.0638
CC(C)CC(C)(C)C,0.0851
CC(C)CCCCCO,0.1489
COC(=O)c1ccc(C(C)(C)C)cc1,0.3404
O=CN1CCOCC1,0.8298
CCCCCCCCCCCCO,0.2766
CCCCCCCCCCCCCCCC,0.2766
Cc1ccc(C(C)(C)C)cc1,0.3191
CCC(C)OC(C)=O,0.0213
CC(=O)OC(C)(C)C,0.1277
