solvent_smiles,Boiling Point,Molecular Weight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Exact Mass,Monoisotopic Mass,Topological Polar Surface Area,Heavy Atom Count,Complexity
CC(Cl)(Cl)Cl,74,133.4,2.4,0,0,0,131.93,131.93,0,5,26.4
CN(C)C(=O)N(C)C,176.5,116.16,0.2,0,1,0,116.09,116.09,23.6,8,78.4
CC(Cl)Cl,57.4,98.96,1.9,0,0,0,97.97,97.97,0,4,11.5
C=C(Cl)Cl,31.6,96.94,2.3,0,0,0,95.95,95.95,0,4,27
NCCN,116.5,60.1,-2,2,2,1,60.07,60.07,52,4,6
Clc1ccccc1Cl,181.5,147,3.4,0,0,0,145.97,145.97,0,8,62.9
ClCCCl,83.4,98.96,1.5,0,0,1,97.97,97.97,0,4,6
COCCOC,82.5,90.12,-0.2,0,2,3,90.07,90.07,18.5,6,17.5
OCCO,197.3,62.07,-1.4,2,2,1,62.04,62.04,40.5,4,6
Cc1cc(C)cc(C)c1,165,120.19,3.4,0,0,0,120.09,120.09,0,9,55
Cc1ccc(C)cc1,138.3,106.16,3.2,0,0,0,106.08,106.08,0,8,48.4
C1COCCO1,101.2,88.11,-0.3,0,2,0,88.05,88.05,18.5,6,26.5
CN1CCCC1=O,202,99.13,-0.5,0,1,0,99.07,99.07,20.3,7,90.1
CC(C)C(=O)C(C)C,125.4,114.19,1.9,0,1,2,114.1,114.1,17.1,8,72.4
CC(C)CC(=O)CC(C)C,169.4,142.24,2.5,0,1,4,142.14,142.14,17.1,10,91.3
NCCO,170.3,61.08,-1.3,2,2,1,61.05,61.05,46.3,4,10
COCCO,124.1,76.09,-0.8,1,2,2,76.05,76.05,29.5,5,14.4
CCCC(C)C,60.2,86.18,3.2,0,0,2,86.11,86.11,0,6,21.2
CC1CCCO1,79,86.13,1,0,1,0,86.07,86.07,9.2,6,43.2
CCC(C)(C)O,87.3,88.15,0.9,1,1,1,88.09,88.09,20.2,6,39.2
CC(C)CO,108,74.12,0.8,1,1,1,74.07,74.07,20.2,5,17.6
CC(C)(C)O,82.3,74.12,0.5,1,1,0,74.07,74.07,20.2,5,25.1
CC(=O)C(C)(C)C,106.1,100.16,1.2,0,1,1,100.09,100.09,17.1,7,76.7
CC(=O)C(C)C,94.3,86.13,0.8,0,1,1,86.07,86.07,17.1,6,55
CC(C)CCO,132.5,88.15,1.2,1,1,2,88.09,88.09,20.2,6,25.1
CC(=O)CC(C)C,115.7,100.16,1.3,0,1,2,100.09,100.09,17.1,7,64.6
CC(=O)O,117.9,60.05,-0.2,1,2,0,60.02,60.02,37.3,4,31
CC(=O)OC(C)=O,139.5,102.09,-0.1,0,3,2,102.03,102.03,43.4,7,83.1
CC(C)=O,56.1,58.08,-0.1,0,1,0,58.04,58.04,17.1,4,26.3
CC#N,20,41.05,0,0,1,0,41.03,41.03,23.8,3,29.3
CC(=O)c1ccccc1,202.1,120.15,1.6,0,1,1,120.06,120.06,17.1,9,101
Nc1ccccc1,184.1,93.13,0.9,1,1,0,93.06,93.06,26,7,46.1
COc1ccccc1,155,108.14,2.1,0,1,1,108.06,108.06,9.2,8,55.4
c1ccccc1,80.1,78.11,2.1,0,0,0,78.05,78.05,0,6,15.5
N#Cc1ccccc1,190.7,103.12,1.6,0,1,0,103.04,103.04,23.8,8,103
FC(F)(F)c1ccccc1,103.5,146.11,3,0,3,0,146.03,146.03,0,10,99.9
OCc1ccccc1,205.3,108.14,1.1,1,1,1,108.06,108.06,20.2,8,55.4
Brc1ccccc1,156.2,157.01,3,0,0,0,155.96,155.96,0,7,46.1
CCCCO,117.6,74.12,0.9,1,1,2,74.07,74.07,20.2,5,13.1
CCC(C)O,99.5,74.12,0.6,1,1,1,74.07,74.07,20.2,5,19.6
CCC(C)=O,79.6,72.11,0.3,0,1,1,72.06,72.06,17.1,5,38.9
CCCC#N,117,69.11,0.5,0,1,1,69.06,69.06,23.8,5,47.9
S=C=S,46.2,76.15,2.1,0,2,0,75.94,75.94,64.2,3,18.3
Clc1ccccc1,131.6,112.55,2.9,0,0,0,112.01,112.01,0,7,46.1
ClC(Cl)Cl,61.1,119.37,2.3,0,0,0,117.91,117.91,0,4,8
C1CCC2CCCCC2C1,155.5,138.25,4.6,0,0,0,138.14,138.14,0,10,80.6
C1CCCCC1,81,84.16,3.4,0,0,0,84.09,84.09,0,6,15.5
OC1CCCCC1,161.8,100.16,1.2,1,1,0,100.09,100.09,20.2,7,46.1
O=C1CCCCC1,156,98.14,0.8,0,1,0,98.07,98.07,17.1,7,68.2
COC1CCCC1,106,100.16,1.3,0,1,1,100.09,100.09,9.2,7,46.1
CCCCCCCCCC,174.1,142.28,5,0,0,7,142.17,142.17,0,10,40
ClCCl,40,84.93,1.5,0,0,0,83.95,83.95,0,3,2.8
CCOCC,35,74.12,0.9,0,1,2,74.07,74.07,9.2,5,11.1
CCNCC,55.5,73.14,0.6,1,1,2,73.09,73.09,12,5,11.1
CCOC(=O)OCC,126,118.13,1.2,0,3,4,118.06,118.06,35.5,8,62.1
OCCOCCO,245.8,106.12,-1.3,2,3,4,106.06,106.06,49.7,7,26.1
CCOCCOCCOCC,188,162.23,0.4,0,3,8,162.13,162.13,27.7,11,58.4
COCCOCCOC,162,134.17,-0.4,0,3,6,134.09,134.09,27.7,9,41.6
ICI,6,267.83,2.3,0,0,0,267.82,267.82,0,3,2.8
CC(C)OC(C)C,68.5,102.17,1.5,0,1,2,102.1,102.1,9.2,7,33.4
CS(C)=O,189,78.14,-0.6,0,2,0,78.01,78.01,36.3,4,29
CCCCOCCCC,140.8,130.23,3.2,0,1,6,130.14,130.14,9.2,9,37.8
CCCOCCC,90,102.17,2,0,1,4,102.1,102.1,9.2,7,23.4
c1ccc(Oc2ccccc2)cc1,258,170.21,4.2,0,1,2,170.07,170.07,9.2,13,116
CCO,78.2,46.07,-0.1,1,1,0,46.04,46.04,20.2,3,2.8
CCOC(C)=O,77.1,88.11,0.7,0,2,2,88.05,88.05,26.3,6,49.5
CCOc1ccccc1,172,122.16,2.5,0,1,2,122.07,122.07,9.2,9,65
Fc1ccccc1,84.5,96.1,2.3,0,1,0,96.04,96.04,0,7,46.1
NC=O,206,45.04,-0.8,1,1,0,45.02,45.02,43.1,3,12.3
O=CO,101,46.02,-0.2,1,2,0,46.01,46.01,37.3,3,10.3
OCC(O)CO,290,92.09,-1.8,3,3,2,92.05,92.05,60.7,6,25.2
CN(C)P(=O)(N(C)C)N(C)C,232,179.2,0.3,0,4,3,179.12,179.12,26.8,11,139
Ic1ccccc1,188.4,204.01,3.2,0,0,0,203.94,203.94,0,7,46.1
CC(=O)OCC(C)C,116.5,116.16,1.8,0,2,3,116.08,116.08,26.3,8,76.6
CC(=O)OC(C)C,89,102.13,0.9,0,2,2,102.07,102.07,26.3,7,66.5
CO,65,32.04,-0.5,1,1,0,32.03,32.03,20.2,2,2
COC(C)=O,56.7,74.08,0.2,0,2,1,74.04,74.04,26.3,5,40.2
C1COCCN1,128,87.12,-0.9,1,2,0,87.07,87.07,21.3,6,34.5
CC(=O)N(C)C,164,87.12,-0.8,0,1,0,87.07,87.07,20.3,6,58.6
CN(C)C=O,152.8,73.09,-1,0,1,0,73.05,73.05,20.3,5,33.9
CCCCOC(C)=O,126,116.16,1.8,0,2,4,116.08,116.08,26.3,8,68.9
CCCCCCC,98.4,100.2,4.4,0,0,4,100.13,100.13,0,7,19.2
CCCCCC,68.7,86.18,3.9,0,0,3,86.11,86.11,0,6,12
O=[N+]([O-])c1ccccc1,210.8,123.11,1.9,0,2,0,123.03,123.03,45.8,9,102
C[N+](=O)[O-],101.1,61.04,0.1,0,2,0,61.02,61.02,45.8,4,27.5
CNC(C)=O,205,73.09,-1.1,1,1,0,73.05,73.05,29.1,5,42.2
CNC=O,182.5,59.07,-1,1,1,0,59.04,59.04,29.1,4,20
CCCCCCCCC,150.5,128.25,4.5,0,0,6,128.16,128.16,0,9,33.3
CCCCCCCC,125.6,114.23,3.9,0,0,5,114.14,114.14,0,8,25
CCCCC,36.1,72.15,3.4,0,0,2,72.09,72.09,0,5,7.5
CCCCCO,137.5,88.15,1.6,1,1,3,88.09,88.09,20.2,6,19.9
CCCC(C)O,118.5,88.15,1.2,1,1,2,88.09,88.09,20.2,6,27.1
CCCC(C)=O,102.3,86.13,0.9,0,1,2,86.07,86.07,17.1,6,47.9
CCC(O)CC,116,88.15,1.2,1,1,2,88.09,88.09,20.2,6,23.1
CCC(=O)CC,101.7,86.13,0.9,0,1,2,86.07,86.07,17.1,6,41.9
C1CCNCC1,106,85.15,0.8,1,1,0,85.09,85.09,12,6,30.9
CCCO,97.2,60.1,0.3,1,1,1,60.06,60.06,20.2,4,7.2
CC(C)O,83,60.1,0.3,1,1,0,60.06,60.06,20.2,4,10.8
CCC(=O)O,141.1,74.08,0.3,1,2,1,74.04,74.04,37.3,5,40.2
CCC#N,97,55.08,0.2,0,1,0,55.04,55.04,23.8,4,38.5
c1ccncc1,115.2,79.1,0.7,0,1,0,79.04,79.04,12.9,6,30.9
c1ccc2ncccc2c1,238,129.16,2,0,1,0,129.06,129.06,12.9,10,111
O=S1(=O)CCCC1,285,120.17,-0.8,0,2,0,120.02,120.02,42.5,7,128
COC(C)(C)C,55.1,88.15,0.9,0,1,1,88.09,88.09,9.2,6,33.7
ClC(Cl)=C(Cl)Cl,121.2,165.8,3.4,0,0,0,165.87,163.88,0,6,55.6
ClC(Cl)(Cl)Cl,76.7,153.8,2.8,0,0,0,153.87,151.88,0,5,19.1
OCCOCCOCCOCCO,327.3,194.23,-1.6,2,5,10,194.12,194.12,68.2,13,78.6
C1CCOC1,65,72.11,0.5,0,1,0,72.06,72.06,9.2,5,22.8
c1ccc2c(c1)CCCC2,207.6,132.2,3.5,0,0,0,132.09,132.09,0,10,92.6
Cc1ccccc1,110.6,92.14,2.7,0,0,0,92.06,92.06,0,7,42
CCCCN(CCCC)CCCC,207,185.35,4,0,1,9,185.21,185.21,3.2,13,72.1
ClC=C(Cl)Cl,87.2,131.38,2.6,0,0,0,129.91,129.91,0,5,42.9
CCN(CC)CC,88.8,101.19,1.4,0,1,3,101.12,101.12,3.2,7,25.7
OCCOCCOCCO,285,150.17,-1.6,2,4,7,150.09,150.09,58.9,10,49.7
COCCOCCOCCOC,216,178.23,-0.5,0,4,9,178.12,178.12,36.9,12,67.5
O,100,18.02,-0.5,1,1,0,18.01,18.01,1,1,0
CN(C)c1ccccc1,193,121.18,2.3,0,1,1,121.09,121.09,3.2,9,72.6
CC1CCCCC1,101,98.19,3.6,0,0,0,98.11,98.11,0,7,42
CN1CCCN(C)C1=O,257.9,128.17,-0.1,0,1,0,128.09,128.09,23.6,9,112
CN1CCN(C)C1=O,225,114.15,-0.5,0,1,0,114.08,114.08,23.6,8,101
CCN1CCCC1=O,224,113.16,-0.1,0,1,1,113.08,113.08,20.3,8,101
CCC(C)(C)OC,86.3,102.17,1.6,0,1,2,102.1,102.1,9.2,7,48.1
C1COCO1,78,74.08,-0.4,0,2,0,74.04,74.04,18.5,5,24.1
CCOC(=O)C(C)O,154,118.13,0.2,1,3,3,118.06,118.06,46.5,8,79.7
COCC(C)OC,96,104.15,-0.1,0,2,3,104.08,104.08,18.5,7,37.1
CC1COC(=O)O1,241.6,102.09,-0.4,0,3,0,102.03,102.03,35.5,7,88.9
COC(=O)OC,90.5,90.08,0.5,0,3,2,90.03,90.03,35.5,6,44
CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,394.8,174.19,-0.6,0,4,2,174.09,174.09,36.9,12,143
COC(OC)(OC)OC,114,136.15,-0.2,0,4,4,136.07,136.07,36.9,9,51.8
OCC(F)(F)F,74.5,100.04,0.4,1,4,0,100.01,100.01,20.2,6,38.5
CC1=CC(=O)CC(C)(C)C1,215.3,138.21,1.6,0,1,0,138.1,138.1,17.1,10,187
CC1CCCCC1=O,165.1,112.17,1.5,0,1,0,112.09,112.09,17.1,8,96.6
CCOCCOC(C)=O,156.4,132.16,0.3,0,3,5,132.08,132.08,35.5,9,80.4
CCOC(=O)CC(C)=O,180.8,130.14,0.2,0,3,4,130.06,130.06,43.4,9,117
Cc1ccccn1,129.4,93.13,1.1,0,1,0,93.06,93.06,12.9,7,52.1
Cc1cccc(C)n1,144,107.15,1.7,0,1,0,107.07,107.07,12.9,8,62.8
OCCN(CCO)CCO,350,149.19,-1,3,4,6,149.11,149.11,63.9,10,55.7
C1CSCS1,184,106.21,1.4,0,2,0,105.99,105.99,50.6,5,24.1
COS(=O)OC,126,110.13,0.2,0,4,2,110,110,54.7,6,46.8
O=S1OCCO1,159,108.12,0,0,4,0,107.99,107.99,54.7,6,63.2
Fc1c(F)c(F)c(F)c(F)c1F,80.5,186.05,2.5,0,6,0,185.99,185.99,0,12,104
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,104,236.06,3.3,0,8,0,235.99,235.99,0,15,210
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,142,462.08,5.6,0,18,0,461.97,461.97,0,28,587
Cc1ccc(C(C)C)cc1,177.1,134.22,4.1,0,0,1,134.11,134.11,0,10,86.2
Clc1cccc(Cl)c1,173,147,3.5,0,0,0,145.97,145.97,0,8,64.9
O=S1CCCC1,236,104.17,-0.3,0,2,0,104.03,104.03,36.3,6,61.9
O=C(O)C(F)(F)F,72.4,114.02,0.9,1,5,0,113.99,113.99,37.3,7,83.4
O=C(OC(=O)C(F)(F)F)C(F)(F)F,39.5,210.03,2.1,0,9,2,209.98,209.98,43.4,13,201
OC(C(F)(F)F)C(F)(F)F,58,168.04,1.7,1,7,0,168,168,20.2,10,97.1
CN1CCCCCC1=O,288.8,127.18,0.2,0,1,0,127.1,127.1,20.3,9,111
CCN(CC)S(=O)(=O)N(CC)CC,250,208.32,0.9,0,4,6,208.12,208.12,49,13,195
CN(C)P(C)(=O)N(C)C,276.7,150.16,-0.7,0,3,2,150.09,150.09,23.6,9,121
COC(C)(C)OC,80,104.15,0.6,0,2,2,104.08,104.08,18.5,7,44
CC1(C)OCC(CO)O1,188.5,132.16,-0.2,1,3,1,132.08,132.08,38.7,9,100
C=C(C)C1CC=C(C)CC1,175,136.23,3.4,0,0,1,136.13,136.13,0,10,163
CC1CCC(=O)O1,207.5,100.12,0.6,0,2,0,100.05,100.05,26.3,7,88.1
C1CCC2=NCCCN2CC1,316,152.24,1.4,0,1,0,152.13,152.13,15.6,11,163
CCN(C(C)C)C(C)C,127,129.24,2.2,0,1,3,129.15,129.15,3.2,9,59
Cl/C=C/Cl,47.6,96.94,1.9,0,0,0,95.95,95.95,0,4,19.2
Cl/C=C\Cl,60,96.94,1.9,0,0,0,95.95,95.95,0,4,19.2
CCOCCO,135.7,90.12,-0.3,1,2,3,90.07,90.07,29.5,6,21.5
CCCCC(C)=O,127.2,100.16,1.4,0,1,3,100.09,100.09,17.1,7,57.2
COC=O,31.5,60.05,0,0,2,1,60.02,60.02,26.3,4,18
CCOC=O,53,74.08,0.5,0,2,2,74.04,74.04,26.3,5,26.1
CCCOC=O,80.5,88.11,0.8,0,2,3,88.05,88.05,26.3,6,34.5
CCCCOC=O,106,102.13,1.4,0,2,4,102.07,102.07,26.3,7,43.3
COC(=O)CCCCC(=O)OC,252,174.19,1,0,4,7,174.09,174.09,52.6,12,135
CC(=O)OCCC(C)C,142,130.18,2,0,2,4,130.1,130.1,26.3,9,86.9
CCCCCCOC(C)=O,171.5,144.21,2.4,0,2,6,144.12,144.12,26.3,10,89.3
CC(=O)OCCOC(C)=O,190.5,146.14,0,0,4,5,146.06,146.06,52.6,10,114
O=C1CCCO1,204,86.09,-0.6,0,2,0,86.04,86.04,26.3,6,67.9
COC(OC)OC,101.5,106.12,0.2,0,3,3,106.06,106.06,27.7,7,28.4
CCOC(OCC)OCC,146,148.2,1.2,0,3,6,148.11,148.11,27.7,10,51.6
CC1(C)OCCO1,92.5,102.13,0.5,0,2,0,102.07,102.07,18.5,7,60.5
CC(=O)CC(C)=O,138,100.12,0.4,0,2,2,100.05,100.05,34.1,7,82.3
